MESS_DATUM;F;D
2023081512;1.0;200
2023081513;1.3;100
2023081514;1.6;90
2023081515;2.1;360
2023081516;2.2;90
2023081517;2.7;120
2023081518;2.0;130
2023081519;2.1;100
2023081520;2.2;110
2023081521;1.9;100
2023081522;1.6;100
2023081523;2.0;100
2023081600;1.7;20
2023081601;1.4;90
2023081602;1.9;120
2023081603;1.4;160
2023081604;1.3;140
2023081605;1.0;120
2023081606;1.5;80
2023081607;1.7;120
2023081608;1.2;50
2023081609;0.9;140
2023081610;1.4;170
2023081611;2.1;190
2023081612;2.3;210
2023081613;2.1;240
2023081614;1.8;300
2023081615;3.3;360
2023081616;3.7;350
2023081617;4.4;360
2023081618;3.7;10
2023081619;3.2;360
2023081620;2.6;10
2023081621;2.3;350
2023081622;1.7;310
2023081623;1.1;40
2023081700;2.1;20
2023081701;1.4;240
2023081702;2.3;330
2023081703;2.2;20
2023081704;1.5;360
2023081705;3.1;360
2023081706;2.8;350
2023081707;1.5;350
2023081708;0.5;130
2023081709;1.6;220
2023081710;1.1;230
2023081711;1.2;260
2023081712;1.7;260
2023081713;1.6;270
2023081714;2.0;300
2023081715;3.2;350
2023081716;3.3;350
2023081717;3.2;350
2023081718;3.5;340
2023081719;3.9;20
2023081720;2.4;360
2023081721;2.0;360
2023081722;1.8;360
2023081723;0.9;300
2023081800;0.5;110
2023081806;-999.0;160
2023081807;1.2;140
2023081808;2.0;140
2023081809;2.4;170
2023081810;2.6;140
2023081811;1.9;140
2023081812;2.3;130
2023081813;3.5;130
2023081814;4.0;140
2023081815;3.6;130
2023081816;3.2;130
2023081817;3.3;130
2023081818;2.8;110
2023081819;2.9;120
2023081820;2.8;110
2023081821;2.8;120
2023081822;3.0;120
2023081823;2.3;130
2023081900;3.1;120
2023081901;2.8;110
2023081902;1.8;110
2023081903;2.6;110
2023081904;2.6;120
2023081905;2.7;120
2023081906;2.8;120
2023081907;3.2;120
2023081908;4.3;120
2023081909;4.5;120
2023081910;3.1;140
2023081911;3.1;170
2023081912;2.1;210
2023081913;3.8;270
2023081914;6.3;300
2023081915;4.4;310
2023081916;3.3;350
2023081917;2.7;340
2023081918;1.1;40
2023081919;1.3;50
2023081920;1.7;70
2023081921;1.6;90
2023081922;1.7;90
2023081923;1.5;100
2023082000;1.4;80
2023082001;1.2;90
2023082002;1.6;120
2023082003;1.2;160
2023082004;1.4;90
2023082005;1.4;110
2023082006;1.3;130
2023082007;0.7;140
2023082008;0.6;210
2023082009;1.1;260
2023082010;1.1;80
2023082011;1.2;300
2023082012;1.9;340
2023082013;2.5;350
2023082014;2.7;40
2023082015;2.9;10
2023082016;2.9;330
2023082017;3.0;350
2023082018;3.6;350
2023082019;3.2;360
2023082020;1.9;40
2023082021;1.1;100
2023082022;1.0;100
2023082023;1.4;170
2023082100;1.5;130
2023082101;1.6;120
2023082102;1.7;80
2023082103;2.2;90
2023082104;1.7;110
2023082105;1.3;130
2023082106;1.3;100
2023082107;0.9;100
2023082108;0.9;170
2023082109;1.4;240
2023082110;1.9;260
2023082111;2.4;270
2023082112;2.9;290
2023082113;4.1;330
2023082114;3.8;310
2023082115;3.7;310
2023082116;3.9;340
2023082117;3.9;340
2023082118;4.1;340
2023082119;3.7;350
2023082120;2.8;350
2023082121;2.0;360
2023082122;1.3;350
2023082123;0.7;150
2023082200;0.9;180
2023082201;1.6;100
2023082202;1.8;120
2023082203;1.4;150
2023082204;1.4;100
2023082205;2.1;120
2023082206;1.7;120
2023082207;1.3;120
2023082208;1.0;170
2023082209;1.5;280
2023082210;1.6;320
2023082211;2.2;350
2023082212;2.8;290
2023082213;2.9;310
2023082214;3.3;310
2023082215;3.5;300
2023082216;3.4;290
2023082217;3.8;330
2023082218;3.7;350
2023082219;2.8;350
2023082220;0.8;40
2023082221;0.7;70
2023082222;1.8;90
2023082223;1.7;100
2023082300;2.1;100
2023082301;2.2;120
2023082302;2.1;120
2023082303;2.1;120
2023082304;1.7;110
2023082305;1.9;120
2023082306;1.3;110
2023082307;1.7;120
2023082308;1.8;130
2023082309;0.9;130
2023082310;1.3;150
2023082311;1.4;0
2023082312;2.7;310
2023082313;3.5;300
2023082314;2.7;290
2023082315;3.0;300
2023082316;3.4;290
2023082317;3.4;300
2023082318;3.2;320
2023082319;2.4;330
2023082320;1.6;90
2023082321;2.0;100
2023082322;1.7;110
2023082323;1.7;120
2023082400;1.3;130
2023082401;1.8;120
2023082402;1.9;130
2023082403;2.1;110
2023082404;1.4;80
2023082405;1.9;160
2023082406;3.9;120
2023082407;2.9;100
2023082408;4.0;120
2023082409;4.2;130
2023082410;4.6;120
2023082411;4.8;140
2023082412;4.5;150
2023082413;3.8;180
2023082414;4.1;200
2023082415;3.2;220
2023082416;3.6;220
2023082417;4.0;170
2023082418;3.0;110
2023082419;2.4;120
2023082420;2.6;120
2023082421;1.3;140
2023082422;2.8;120
2023082423;2.1;120
2023082500;2.3;120
2023082501;2.7;120
2023082502;1.2;110
2023082503;2.3;110
2023082504;2.3;110
2023082505;2.4;120
2023082506;2.6;140
2023082507;2.7;130
2023082508;2.9;170
2023082509;1.4;180
2023082510;2.8;110
2023082511;3.3;120
2023082512;2.6;40
2023082513;2.8;90
2023082514;4.5;110
2023082515;4.3;120
2023082516;4.1;160
2023082517;1.7;120
2023082518;1.5;90
2023082519;1.8;110
2023082520;1.7;300
2023082521;2.3;320
2023082522;2.6;300
2023082523;2.6;280
2023082600;2.9;280
2023082601;2.5;260
2023082602;4.0;250
2023082603;4.3;260
2023082604;3.7;260
2023082605;2.4;210
2023082606;2.1;190
2023082607;3.3;200
2023082608;4.0;220
2023082609;5.5;230
2023082610;5.0;230
2023082611;4.4;240
2023082612;3.0;260
2023082613;3.9;220
2023082614;4.4;220
2023082615;2.5;240
2023082616;1.4;260
2023082617;2.3;280
2023082618;2.5;260
2023082619;1.7;260
2023082620;1.0;160
2023082621;1.4;140
2023082622;1.8;130
2023082623;1.4;140
2023082700;2.0;110
2023082701;2.1;100
2023082702;1.9;100
2023082703;1.8;110
2023082704;2.0;120
2023082705;1.8;120
2023082706;1.5;150
2023082707;1.5;120
2023082708;1.3;190
2023082709;1.7;230
2023082710;1.8;250
2023082711;2.2;220
2023082712;2.3;280
2023082713;3.0;270
2023082714;4.2;270
2023082715;5.8;270
2023082716;6.2;280
2023082717;4.8;300
2023082718;3.2;270
2023082719;2.9;260
2023082720;1.8;250
2023082721;1.4;210
2023082722;1.4;170
2023082723;1.3;120
2023082800;1.5;100
2023082801;2.6;120
2023082802;2.5;120
2023082803;2.1;120
2023082804;1.6;110
2023082805;2.0;120
2023082806;1.6;110
2023082807;1.5;90
2023082808;1.4;150
2023082809;1.1;110
2023082810;1.4;350
2023082811;1.5;10
2023082812;1.6;20
2023082813;1.4;360
2023082814;1.6;350
2023082815;2.1;330
2023082816;1.9;350
2023082817;3.0;340
2023082818;2.9;340
2023082819;3.3;300
2023082820;3.2;320
2023082821;1.5;320
2023082822;1.2;330
2023082823;0.8;220
2023082900;1.2;120
2023082901;1.0;180
2023082902;0.9;170
2023082903;0.5;100
2023082904;1.3;100
2023082905;0.9;140
2023082906;1.0;140
2023082907;0.8;140
2023082908;1.3;310
2023082909;2.3;300
2023082910;1.9;300
2023082911;2.3;320
2023082912;2.6;330
2023082913;2.9;320
2023082914;4.2;320
2023082915;2.9;320
2023082916;2.7;330
2023082917;2.8;360
2023082918;1.4;360
2023082919;1.3;130
2023082920;1.8;130
2023082921;1.9;120
2023082922;1.2;110
2023082923;1.6;110
2023083000;1.3;130
2023083001;0.9;170
2023083002;1.8;120
2023083003;1.7;130
2023083004;1.6;110
2023083005;3.1;120
2023083006;2.6;120
2023083007;2.8;130
2023083008;3.0;160
2023083009;4.1;180
2023083010;5.5;210
2023083011;4.5;220
2023083012;3.1;180
2023083013;2.0;300
2023083014;2.4;290
2023083015;3.9;310
2023083016;3.4;270
2023083017;2.3;240
2023083018;2.4;220
2023083019;1.5;210
2023083020;2.2;250
2023083021;1.7;250
2023083022;1.5;230
2023083023;2.3;200
2023083100;2.3;200
2023083101;2.4;210
2023083102;1.3;210
2023083103;1.1;170
2023083104;1.6;190
2023083105;2.1;200
2023083106;2.3;190
2023083107;2.6;180
2023083108;2.8;210
2023083109;3.6;250
2023083110;4.9;250
2023083111;4.2;250
2023083112;4.8;260
2023083113;3.4;240
2023083114;2.5;250
2023083115;3.6;270
2023083116;4.8;250
2023083117;3.4;270
2023083118;2.6;250
2023083119;1.1;210
2023083120;1.9;220
2023083121;1.7;180
2023083122;2.0;120
2023083123;2.9;120
2023090100;2.7;130
2023090101;2.7;130
2023090102;2.8;130
2023090103;2.8;130
2023090104;2.7;110
2023090105;2.5;130
2023090106;3.2;120
2023090107;3.6;130
2023090108;3.0;140
2023090109;2.9;130
2023090110;4.0;130
2023090111;3.0;130
2023090112;1.6;160
2023090113;1.8;140
2023090114;2.5;130
2023090115;2.9;200
2023090116;5.0;270
2023090117;3.8;360
2023090118;1.7;110
2023090119;1.9;130
2023090120;1.6;130
2023090121;1.5;100
2023090122;2.2;90
2023090123;2.3;110
2023090200;2.1;110
2023090201;1.9;100
2023090202;2.0;110
2023090203;2.2;120
2023090204;1.8;120
2023090205;1.9;120
2023090206;1.6;110
2023090207;1.7;130
2023090208;2.3;150
2023090209;2.0;140
2023090210;1.2;140
2023090211;1.3;190
2023090212;1.2;10
2023090213;1.4;330
2023090214;2.2;360
2023090215;2.0;340
2023090216;2.3;330
2023090217;2.8;360
2023090218;3.5;340
2023090219;3.4;20
2023090220;2.6;10
2023090221;2.1;330
2023090222;1.9;350
2023090223;2.0;340
2023090300;1.5;340
2023090301;1.0;40
2023090302;0.9;40
2023090303;1.0;120
2023090304;1.1;90
2023090305;1.7;110
2023090306;2.0;80
2023090307;2.4;110
2023090308;2.6;100
2023090309;1.9;100
2023090310;1.3;90
2023090311;1.1;190
2023090312;1.4;200
2023090313;1.9;220
2023090314;1.7;310
2023090315;1.4;320
2023090316;1.4;350
2023090317;1.4;330
2023090318;1.5;30
2023090319;1.1;70
2023090320;2.3;70
2023090321;2.2;100
2023090322;2.2;120
