MESS_DATUM;TT_TU;RF_TU
2021012703;0.0;96.0
2021012704;0.0;97.0
2021012705;0.8;96.0
2021012706;1.1;95.0
2021012707;1.3;93.0
2021012708;1.4;91.0
2021012709;1.8;83.0
2021012710;2.6;75.0
2021012711;3.1;77.0
2021012712;3.0;76.0
2021012713;3.4;75.0
2021012714;3.0;76.0
2021012715;2.7;78.0
2021012716;2.4;83.0
2021012717;2.0;89.0
2021012718;2.0;90.0
2021012719;1.9;92.0
2021012720;1.8;94.0
2021012721;2.0;97.0
2021012722;2.4;98.0
2021012723;3.1;98.0
2021012800;3.8;97.0
2021012801;4.2;97.0
2021012802;3.8;91.0
2021012803;2.3;92.0
2021012804;1.9;94.0
2021012805;1.6;90.0
2021012806;0.3;93.0
2021012807;-0.4;97.0
2021012808;-0.8;97.0
2021012809;0.0;87.0
2021012810;0.4;83.0
2021012811;0.8;79.0
2021012812;0.8;79.0
2021012813;1.2;77.0
2021012814;1.4;71.0
2021012815;0.7;74.0
2021012816;0.0;77.0
2021012817;-0.4;79.0
2021012818;-0.5;79.0
2021012819;-1.3;83.0
2021012820;-1.7;83.0
2021012821;-1.4;87.0
2021012822;-1.0;82.0
2021012823;-1.2;84.0
2021012900;-1.1;83.0
2021012901;-1.2;84.0
2021012902;-1.0;83.0
2021012903;-0.8;81.0
2021012904;-0.7;80.0
2021012905;-0.7;80.0
2021012906;-0.8;79.0
2021012907;-0.8;76.0
2021012908;-0.7;73.0
2021012909;-0.3;70.0
2021012910;0.0;65.0
2021012911;0.4;61.0
2021012912;0.3;61.0
2021012913;-0.4;73.0
2021012914;-1.5;90.0
2021012915;-1.4;90.0
2021012916;-1.5;93.0
2021012917;-1.5;92.0
2021012918;-1.5;91.0
2021012919;-1.3;91.0
2021012920;-1.3;93.0
2021012921;-1.3;94.0
2021012922;-1.4;88.0
2021012923;-1.1;91.0
2021013000;-1.0;93.0
2021013001;-0.7;96.0
2021013002;-0.3;96.0
2021013003;0.0;92.0
2021013004;-0.3;89.0
2021013005;-0.7;92.0
2021013006;-1.2;93.0
2021013007;-3.1;92.0
2021013008;-3.3;98.0
2021013009;-2.9;91.0
2021013010;-2.3;81.0
2021013011;-0.4;73.0
2021013012;-0.4;74.0
2021013013;-0.2;73.0
2021013014;0.8;71.0
2021013015;-1.3;78.0
2021013016;-1.8;86.0
2021013017;-4.2;98.0
2021013018;-6.4;97.0
2021013019;-7.8;93.0
2021013020;-7.2;97.0
2021013021;-7.6;96.0
2021013022;-8.5;95.0
2021013023;-8.8;94.0
2021013100;-8.9;96.0
2021013101;-9.6;99.0
2021013102;-10.0;96.0
2021013103;-10.8;93.0
2021013104;-10.2;97.0
2021013105;-8.3;95.0
2021013106;-9.2;91.0
2021013107;-5.9;94.0
2021013108;-4.5;92.0
2021013109;-4.3;91.0
2021013110;-3.3;88.0
2021013111;-2.7;81.0
2021013112;-2.2;81.0
2021013113;-0.6;74.0
2021013114;-0.9;73.0
2021013115;-1.7;77.0
2021013116;-1.8;78.0
2021013117;-3.3;87.0
2021013118;-1.9;83.0
2021013119;-2.3;86.0
2021013120;-4.3;93.0
2021013121;-4.4;92.0
2021013122;-4.6;92.0
2021013123;-4.9;89.0
2021020100;-5.2;86.0
2021020101;-5.5;86.0
2021020102;-6.2;88.0
2021020103;-7.0;92.0
2021020104;-6.7;90.0
2021020105;-6.7;88.0
2021020106;-6.3;85.0
2021020107;-5.9;83.0
2021020108;-5.5;81.0
2021020109;-4.8;80.0
2021020110;-3.6;76.0
2021020111;-2.6;73.0
2021020112;-1.5;70.0
