MESS_DATUM;F;D
2020122412;3.7;310
2020122413;3.5;310
2020122414;3.9;330
2020122415;3.4;340
2020122416;3.4;320
2020122417;3.6;310
2020122418;4.0;320
2020122419;3.3;330
2020122420;3.3;330
2020122421;3.5;330
2020122422;3.0;320
2020122423;3.0;300
2020122500;2.9;300
2020122501;3.3;310
2020122502;3.9;310
2020122503;3.7;320
2020122504;3.2;310
2020122505;2.2;300
2020122506;1.7;300
2020122507;1.6;300
2020122508;2.1;300
2020122509;2.5;310
2020122510;2.7;320
2020122511;3.2;320
2020122512;3.6;320
2020122513;3.7;320
2020122514;3.4;310
2020122515;3.0;310
2020122516;2.9;290
2020122517;1.8;300
2020122518;1.4;300
2020122519;1.5;310
2020122520;1.0;310
2020122521;0.5;250
2020122522;0.5;170
2020122523;0.6;170
2020122600;1.2;210
2020122601;1.1;220
2020122602;1.4;200
2020122603;1.8;220
2020122604;2.2;210
2020122605;2.1;210
2020122606;2.6;210
2020122607;2.9;220
2020122608;3.1;230
2020122609;3.5;220
2020122610;4.6;220
2020122611;5.5;220
2020122612;6.2;220
2020122613;6.4;220
2020122614;6.6;210
2020122615;7.5;210
2020122616;7.9;210
2020122617;8.4;210
2020122618;9.2;210
2020122619;9.2;210
2020122620;9.1;200
2020122621;9.4;200
2020122622;10.2;210
2020122623;10.1;200
2020122700;10.2;210
2020122701;9.7;200
2020122702;9.1;190
2020122703;9.4;180
2020122704;10.0;190
2020122705;10.1;180
2020122706;11.2;180
2020122707;11.4;180
2020122708;10.6;180
2020122709;10.4;180
2020122710;11.3;180
2020122711;11.7;180
2020122712;11.8;180
2020122713;11.6;180
2020122714;11.4;170
2020122715;11.3;160
2020122716;10.9;160
2020122717;11.2;160
2020122718;10.1;160
2020122719;8.3;150
2020122720;8.5;150
2020122721;8.2;150
2020122722;7.3;140
2020122723;7.9;140
2020122800;7.9;150
2020122801;7.5;150
2020122802;6.5;150
2020122803;6.2;140
2020122804;6.0;140
2020122805;5.4;140
2020122806;5.5;140
2020122807;5.4;130
2020122808;5.4;140
2020122809;5.0;130
2020122810;5.4;140
2020122811;4.8;150
2020122812;5.1;150
2020122813;4.4;150
2020122814;3.8;150
2020122815;3.4;120
2020122816;2.6;100
2020122817;3.0;110
2020122818;3.7;110
2020122819;3.7;110
2020122820;3.1;120
2020122821;3.2;110
2020122822;3.3;80
2020122823;3.5;90
2020122900;3.4;90
2020122901;3.9;90
2020122902;2.6;70
2020122903;2.4;80
2020122904;2.3;90
2020122905;2.3;110
2020122906;2.5;130
2020122907;2.1;140
2020122908;1.5;150
2020122909;2.6;150
2020122910;2.8;170
2020122911;3.4;190
2020122912;5.0;220
2020122913;5.0;220
2020122914;5.4;210
2020122915;5.5;210
2020122916;5.3;200
2020122917;6.1;210
2020122918;5.7;220
2020122919;5.9;230
2020122920;6.0;230
2020122921;5.4;230
2020122922;4.6;230
2020122923;5.0;210
2020123000;5.2;210
2020123001;5.9;210
2020123002;6.8;210
2020123003;7.0;210
2020123004;7.0;210
2020123005;7.1;220
2020123006;7.1;210
2020123007;7.5;210
2020123008;7.1;210
2020123009;7.2;220
2020123010;7.7;210
2020123011;7.4;210
2020123012;7.2;220
2020123013;7.5;220
2020123014;6.6;230
2020123015;6.0;210
2020123016;5.9;210
2020123017;6.1;220
2020123018;6.4;210
2020123019;6.2;210
2020123020;6.1;220
2020123021;6.1;220
2020123022;6.1;220
