MESS_DATUM;V_N
2023050521;8
2023050522;8
2023050523;8
2023050600;8
2023050601;8
2023050602;8
2023050603;8
2023050604;8
2023050605;8
2023050606;8
2023050607;8
2023050608;8
2023050609;8
2023050610;8
2023050611;8
2023050612;8
2023050613;8
2023050614;8
2023050615;8
2023050616;7
2023050617;8
2023050618;8
2023050619;8
2023050620;8
2023050621;8
2023050622;8
2023050623;8
2023050700;8
2023050701;8
2023050702;8
2023050703;8
2023050704;8
2023050705;8
2023050706;8
2023050707;8
2023050708;8
2023050709;8
2023050710;8
2023050711;8
2023050712;8
2023050713;8
2023050714;8
2023050715;8
2023050716;8
2023050717;8
2023050718;8
2023050719;8
2023050720;5
2023050721;6
2023050722;2
2023050723;3
2023050800;8
2023050801;8
2023050802;6
2023050803;0
2023050804;0
2023050805;8
2023050806;0
2023050807;1
2023050808;7
2023050809;6
2023050810;7
2023050811;5
2023050812;8
2023050813;5
2023050814;8
2023050815;1
2023050816;0
2023050817;1
2023050818;0
2023050819;2
2023050820;5
2023050821;8
2023050822;8
2023050823;8
2023050900;8
2023050901;8
2023050902;0
2023050903;0
2023050904;0
2023050905;0
2023050906;5
2023050907;0
2023050908;0
2023050909;2
2023050910;6
2023050911;0
2023050912;0
2023050913;0
2023050914;0
2023050915;3
2023050916;5
2023050917;8
2023050918;6
2023050919;8
2023050920;8
2023050921;8
2023050922;8
2023050923;8
2023051000;8
2023051001;8
2023051002;8
2023051003;8
2023051004;8
2023051005;8
2023051006;8
2023051007;8
2023051008;8
2023051009;8
2023051010;8
2023051011;8
2023051012;8
2023051013;8
2023051014;8
2023051015;8
2023051016;8
2023051017;7
2023051018;8
2023051019;7
2023051020;8
2023051021;7
2023051022;8
2023051023;8
2023051100;8
2023051101;8
2023051102;8
2023051103;8
2023051104;8
2023051105;8
2023051106;8
2023051107;8
2023051108;8
2023051109;7
2023051110;7
2023051111;8
2023051112;8
2023051113;7
2023051114;8
2023051115;7
2023051116;7
2023051117;8
2023051118;8
2023051119;7
2023051120;8
2023051121;8
2023051122;7
2023051123;8
2023051200;7
2023051201;8
2023051202;8
2023051203;8
2023051204;8
2023051205;8
2023051206;8
2023051207;8
2023051208;8
2023051209;7
2023051210;0
2023051211;4
2023051212;6
2023051213;0
2023051214;0
2023051215;0
2023051216;0
2023051217;0
2023051218;0
2023051219;0
2023051220;0
2023051221;0
2023051222;0
2023051223;0
2023051300;0
2023051301;0
2023051302;0
2023051303;0
