MESS_DATUM;V_N
2015020716;7
2015020717;8
2015020718;8
2015020719;8
2015020720;8
2015020721;8
2015020722;6
2015020723;6
2015020800;7
2015020801;7
2015020802;4
2015020803;7
2015020804;6
2015020805;7
2015020806;4
2015020807;4
2015020808;4
2015020809;3
2015020810;4
2015020811;5
2015020812;6
2015020813;6
2015020814;6
2015020815;6
2015020816;6
2015020817;6
2015020818;3
2015020819;6
2015020820;3
2015020821;6
2015020822;6
2015020823;7
2015020900;8
2015020901;8
2015020902;8
2015020903;8
2015020904;8
2015020905;8
2015020906;8
2015020907;8
2015020908;8
2015020909;8
2015020910;8
2015020911;8
2015020912;8
2015020913;8
2015020914;8
2015020915;8
2015020916;8
2015020917;8
2015020918;8
2015020919;8
2015020920;8
2015020921;8
2015020922;8
2015020923;8
2015021000;8
2015021001;8
2015021002;8
2015021003;8
2015021004;8
2015021005;8
2015021006;8
2015021007;8
2015021008;8
2015021009;8
2015021010;8
2015021011;8
2015021012;8
2015021013;8
2015021014;8
2015021015;8
2015021016;8
2015021017;8
2015021018;8
2015021019;8
2015021020;8
2015021021;8
2015021022;8
2015021023;8
2015021100;8
2015021101;8
2015021102;8
2015021103;8
2015021104;8
2015021105;8
2015021106;8
2015021107;8
2015021108;8
2015021109;8
2015021110;8
2015021111;8
2015021112;8
2015021113;7
2015021114;7
2015021115;7
2015021116;7
2015021117;8
2015021118;8
2015021119;7
2015021120;7
2015021121;6
2015021122;6
2015021123;4
2015021200;6
2015021201;4
2015021202;7
2015021203;8
2015021204;8
2015021205;8
2015021206;8
2015021207;8
2015021208;8
2015021209;8
2015021210;8
2015021211;8
2015021212;7
2015021213;3
2015021214;3
2015021215;0
2015021216;1
2015021217;5
2015021218;8
2015021219;8
2015021220;8
2015021221;8
2015021222;8
2015021223;4
2015021300;1
2015021301;0
2015021302;0
2015021303;0
2015021304;0
2015021305;0
2015021306;0
2015021307;0
2015021308;0
2015021309;0
2015021310;0
2015021311;0
2015021312;0
2015021313;0
2015021314;0
2015021315;0
2015021316;0
2015021317;1
2015021318;1
2015021319;0
2015021320;0
2015021321;0
2015021322;0
2015021323;0
2015021400;0
2015021401;0
2015021402;0
2015021403;0
2015021404;0
2015021405;0
2015021406;0
2015021407;1
2015021408;1
2015021409;1
2015021410;1
2015021411;1
2015021412;1
2015021413;1
2015021414;1
2015021415;2
2015021416;2
2015021417;1
2015021418;0
2015021419;0
2015021420;0
2015021421;0
2015021422;0
2015021423;0
2015021500;0
2015021501;0
2015021502;0
2015021503;0
2015021504;0
2015021505;0
2015021506;0
2015021507;0
2015021508;0
2015021509;0
2015021510;0
2015021511;7
2015021512;8
2015021513;8
2015021514;7
2015021515;7
2015021516;7
2015021517;7
2015021518;7
2015021519;7
2015021520;7
2015021521;7
2015021522;7
2015021523;7
2015021600;6
2015021601;2
2015021602;0
2015021603;0
2015021604;0
2015021605;0
2015021606;0
2015021607;0
2015021608;1
2015021609;1
2015021610;0
2015021611;0
2015021612;0
2015021613;0
2015021614;0
2015021615;0
2015021616;0
2015021617;0
2015021618;0
2015021619;0
2015021620;0
2015021621;0
2015021622;0
2015021623;0
2015021700;0
2015021701;1
2015021702;0
2015021703;0
2015021704;0
2015021705;0
2015021706;0
2015021707;0
2015021708;0
2015021709;0
2015021710;4
2015021711;7
2015021712;7
2015021713;8
2015021714;8
2015021715;8
2015021716;8
2015021717;8
2015021718;8
2015021719;8
2015021720;8
2015021721;8
2015021722;8
2015021723;8
2015021800;8
2015021801;8
2015021802;8
2015021803;8
2015021804;8
2015021805;8
2015021806;8
2015021807;8
2015021808;7
2015021809;8
2015021810;8
2015021811;6
2015021812;7
2015021813;7
2015021814;6
2015021815;6
2015021816;6
2015021817;4
2015021818;4
2015021819;2
2015021820;2
2015021821;0
2015021822;0
2015021823;0
2015021900;0
2015021901;0
2015021902;0
2015021903;0
2015021904;0
2015021905;0
2015021906;0
2015021907;1
2015021908;1
2015021909;2
2015021910;2
2015021911;3
2015021912;3
2015021913;6
2015021914;6
2015021915;3
2015021916;2
2015021917;2
2015021918;0
2015021919;0
2015021920;0
2015021921;0
2015021922;0
2015021923;0
2015022000;0
2015022001;0
2015022002;0
2015022003;0
2015022004;0
2015022005;0
2015022006;0
2015022007;7
2015022008;7
2015022009;0
2015022010;1
2015022011;1
2015022012;4
2015022013;3
2015022014;2
2015022015;2
2015022016;3
2015022017;3
2015022018;5
2015022019;4
2015022020;0
2015022021;0
2015022022;0
2015022023;0
2015022100;2
2015022101;2
2015022102;0
2015022103;4
2015022104;5
2015022105;6
2015022106;6
2015022107;5
2015022108;4
2015022109;6
2015022110;6
2015022111;7
2015022112;7
2015022113;7
2015022114;7
2015022115;7
2015022116;7
2015022117;7
2015022118;7
2015022119;6
2015022120;8
2015022121;7
2015022122;7
2015022123;7
2015022200;7
2015022201;5
2015022202;5
2015022203;5
2015022204;3
2015022205;7
2015022206;7
2015022207;7
2015022208;7
2015022209;7
2015022210;7
2015022211;8
2015022212;7
2015022213;7
2015022214;8
2015022215;7
2015022216;7
2015022217;5
2015022218;1
2015022219;0
2015022220;0
2015022221;0
2015022222;0
2015022223;0
2015022300;0
2015022301;0
2015022302;0
2015022303;3
2015022304;3
2015022305;7
2015022306;7
2015022307;7
2015022308;7
2015022309;7
2015022310;7
2015022311;8
2015022312;8
2015022313;8
2015022314;8
2015022315;8
2015022316;8
2015022317;8
2015022318;8
2015022319;8
2015022320;8
2015022321;6
2015022322;8
2015022323;7
2015022400;6
2015022401;2
2015022402;5
2015022403;7
2015022404;3
2015022405;4
2015022406;7
2015022407;3
2015022408;2
2015022409;7
2015022410;7
2015022411;7
2015022412;8
2015022413;8
2015022414;8
2015022415;8
2015022416;8
2015022417;6
2015022418;7
2015022419;5
2015022420;6
2015022421;3
2015022422;1
2015022423;1
2015022500;1
2015022501;0
2015022502;0
2015022503;2
2015022504;2
2015022505;2
2015022506;5
2015022507;6
2015022508;5
2015022509;4
2015022510;4
2015022511;5
2015022512;4
