MESS_DATUM;V_N
2015032114;8
2015032115;8
2015032116;7
2015032117;7
2015032118;6
2015032119;7
2015032120;7
2015032121;8
2015032122;8
2015032123;8
2015032200;5
2015032201;6
2015032202;7
2015032203;8
2015032204;8
2015032205;7
2015032206;7
2015032207;7
2015032208;7
2015032209;7
2015032210;7
2015032211;7
2015032212;4
2015032213;5
2015032214;5
2015032215;4
2015032216;4
2015032217;4
2015032218;4
2015032219;1
2015032220;1
2015032221;1
2015032222;1
2015032223;0
2015032300;2
2015032301;2
2015032302;1
2015032303;4
2015032304;3
2015032305;2
2015032306;5
2015032307;5
2015032308;6
2015032309;6
2015032310;5
2015032311;5
2015032312;6
2015032313;4
2015032314;4
2015032315;5
2015032316;6
2015032317;7
2015032318;7
2015032319;7
2015032320;7
2015032321;7
2015032322;7
2015032323;5
2015032400;4
2015032401;7
2015032402;7
2015032403;7
2015032404;7
2015032405;7
2015032406;8
2015032407;8
2015032408;7
2015032409;6
2015032410;4
2015032411;5
2015032412;6
2015032413;7
2015032414;7
2015032415;4
2015032416;3
2015032417;7
2015032418;7
2015032419;7
2015032420;8
2015032421;7
2015032422;7
