MESS_DATUM;TT_TU;RF_TU
2024040703;15.0;41.0
2024040704;14.7;41.0
2024040705;13.8;45.0
2024040706;12.7;51.0
2024040707;11.7;60.0
2024040708;12.0;65.0
2024040709;10.6;76.0
2024040710;12.7;63.0
2024040711;12.7;62.0
2024040712;12.6;63.0
2024040713;13.6;60.0
2024040714;14.3;59.0
2024040715;14.4;59.0
2024040716;13.8;61.0
2024040717;13.4;63.0
2024040718;12.9;66.0
2024040719;13.0;64.0
2024040720;13.1;65.0
2024040721;12.7;68.0
2024040722;12.3;70.0
2024040723;13.0;64.0
2024040800;12.2;69.0
2024040801;13.6;56.0
2024040802;13.3;58.0
2024040803;13.2;60.0
2024040804;12.1;67.0
2024040805;12.2;65.0
2024040806;12.6;61.0
2024040807;12.9;61.0
2024040808;13.0;65.0
2024040809;13.7;62.0
2024040810;14.1;58.0
2024040811;15.3;54.0
2024040812;15.8;54.0
2024040813;15.6;52.0
2024040814;16.9;51.0
2024040815;16.6;49.0
2024040816;16.5;47.0
2024040817;16.0;48.0
2024040818;15.2;49.0
2024040819;14.8;47.0
2024040820;15.2;45.0
2024040821;15.3;50.0
2024040822;15.3;51.0
2024040823;15.1;49.0
2024040900;15.8;42.0
2024040901;15.6;41.0
2024040902;16.9;38.0
2024040903;16.4;39.0
2024040904;15.7;42.0
2024040905;15.7;43.0
2024040906;15.5;44.0
2024040907;15.3;44.0
2024040908;14.3;52.0
2024040909;13.3;58.0
2024040910;13.6;65.0
2024040911;12.3;74.0
2024040912;10.5;83.0
2024040913;8.7;93.0
2024040914;5.1;96.0
2024040915;3.4;94.0
2024040916;2.7;97.0
2024040917;2.5;98.0
2024040918;2.3;97.0
2024040919;2.2;98.0
2024040920;2.1;97.0
2024040921;2.0;96.0
2024040922;1.9;90.0
2024040923;1.9;87.0
2024041000;1.5;94.0
2024041001;1.3;96.0
2024041002;1.1;97.0
2024041003;0.9;97.0
2024041004;0.9;97.0
2024041005;0.8;97.0
2024041006;0.7;97.0
2024041007;0.8;97.0
2024041008;1.0;97.0
2024041009;2.2;91.0
2024041010;2.0;96.0
2024041011;5.0;76.0
2024041012;4.3;82.0
2024041013;4.5;77.0
2024041014;4.1;83.0
2024041015;4.9;74.0
2024041016;4.9;69.0
2024041017;4.4;72.0
2024041018;3.4;78.0
2024041019;2.7;84.0
2024041020;2.6;88.0
2024041021;2.3;83.0
2024041022;2.7;82.0
2024041023;2.5;86.0
2024041100;2.2;88.0
2024041101;2.3;83.0
2024041102;2.3;78.0
2024041103;2.4;71.0
2024041104;2.6;68.0
2024041105;2.4;72.0
2024041106;2.6;70.0
2024041107;3.2;67.0
2024041108;4.5;60.0
2024041109;4.6;63.0
2024041110;5.0;65.0
2024041111;5.1;68.0
2024041112;5.5;72.0
2024041113;7.0;69.0
2024041114;6.9;75.0
2024041115;7.3;79.0
2024041116;7.7;76.0
2024041117;7.2;82.0
2024041118;6.5;87.0
2024041119;6.3;92.0
2024041120;6.6;95.0
2024041121;6.2;98.0
2024041122;6.3;97.0
2024041123;6.3;98.0
2024041200;6.3;98.0
2024041201;6.3;98.0
2024041202;6.2;98.0
2024041203;6.2;99.0
2024041204;6.1;98.0
2024041205;6.1;98.0
2024041206;6.1;98.0
2024041207;6.1;98.0
2024041208;6.6;96.0
2024041209;8.0;90.0
2024041210;9.8;79.0
2024041211;10.8;76.0
2024041212;11.1;77.0
2024041213;9.8;84.0
2024041214;10.3;82.0
2024041215;10.0;83.0
2024041216;9.0;93.0
2024041217;8.4;98.0
2024041218;8.3;97.0
2024041219;8.2;97.0
2024041220;8.1;98.0
2024041221;8.0;98.0
2024041222;8.3;98.0
2024041223;8.5;98.0
2024041300;8.6;98.0
2024041301;8.7;98.0
2024041302;8.5;98.0
2024041303;8.3;98.0
2024041304;7.9;98.0
2024041305;8.0;98.0
2024041306;8.3;98.0
2024041307;8.2;98.0
2024041308;8.2;97.0
2024041309;8.6;95.0
2024041310;10.1;84.0
2024041311;10.3;84.0
2024041312;11.2;81.0
2024041313;11.8;78.0
2024041314;12.7;76.0
2024041315;12.3;74.0
2024041316;12.1;75.0
2024041317;11.9;75.0
2024041318;11.7;77.0
2024041319;11.4;78.0
2024041320;11.2;77.0
2024041321;10.9;80.0
2024041322;10.9;81.0
2024041323;11.0;81.0
2024041400;10.7;85.0
2024041401;10.1;90.0
2024041402;9.5;93.0
2024041403;8.3;88.0
2024041404;6.8;90.0
2024041405;5.8;97.0
2024041406;5.6;98.0
2024041407;5.6;98.0
2024041408;5.8;87.0
2024041409;7.7;74.0
2024041410;7.4;75.0
2024041411;7.0;74.0
2024041412;6.9;67.0
2024041413;7.9;63.0
2024041414;7.7;62.0
2024041415;6.8;67.0
2024041416;6.3;72.0
2024041417;5.6;74.0
2024041418;4.4;69.0
2024041419;3.9;74.0
2024041420;3.5;73.0
2024041421;3.2;72.0
2024041422;3.4;68.0
2024041423;2.5;69.0
2024041500;1.0;90.0
2024041501;-0.1;97.0
2024041502;0.0;98.0
2024041503;0.0;98.0
2024041504;0.1;98.0
2024041505;0.7;100.0
2024041506;0.7;98.0
2024041507;1.0;98.0
2024041508;1.2;99.0
2024041509;1.4;99.0
2024041510;1.4;98.0
2024041511;2.1;91.0
2024041512;4.4;74.0
2024041513;4.0;67.0
2024041514;4.0;63.0
2024041515;4.7;60.0
2024041516;4.7;61.0
2024041517;4.8;53.0
2024041518;2.6;75.0
2024041519;-1.6;97.0
2024041520;-2.2;96.0
2024041521;-2.3;96.0
2024041522;-2.5;96.0
2024041523;-2.6;96.0
2024041600;-2.5;96.0
2024041601;-2.5;96.0
2024041602;-2.2;96.0
2024041603;-2.3;96.0
2024041604;-2.5;95.0
2024041605;-2.6;95.0
2024041606;-2.6;95.0
2024041607;-2.7;95.0
2024041608;-2.5;95.0
2024041609;-2.1;96.0
2024041610;-1.6;96.0
2024041611;-1.5;96.0
2024041612;-1.3;96.0
2024041613;-1.0;99.0
2024041614;-0.1;100.0
2024041615;-0.1;97.0
2024041616;-0.2;97.0
2024041617;-0.1;97.0
2024041618;-0.1;98.0
2024041619;-0.7;96.0
2024041620;-0.7;97.0
2024041621;-0.6;97.0
2024041622;-1.0;97.0
2024041623;-1.3;97.0
2024041700;-1.4;97.0
2024041701;-1.5;97.0
2024041702;-1.3;97.0
2024041703;-1.3;97.0
2024041704;-1.4;97.0
2024041705;-1.3;97.0
2024041706;-0.7;97.0
2024041707;-1.1;97.0
2024041708;-0.7;96.0
2024041709;-0.9;97.0
