MESS_DATUM;SD_SO
2023090211;0.0
2023090212;0.0
2023090213;1.0
2023090214;6.0
2023090215;4.0
2023090216;23.0
2023090217;13.0
2023090218;54.0
2023090219;0.0
2023090220;0.0
2023090303;0.0
2023090304;0.0
2023090305;0.0
2023090306;0.0
2023090307;0.0
2023090308;9.0
2023090309;47.0
2023090310;60.0
2023090311;60.0
2023090312;60.0
2023090313;60.0
2023090314;60.0
2023090315;60.0
2023090316;60.0
2023090317;47.0
2023090318;18.0
2023090319;0.0
2023090320;0.0
2023090403;0.0
2023090404;0.0
2023090405;12.0
2023090406;60.0
2023090407;60.0
2023090408;60.0
2023090409;60.0
2023090410;60.0
2023090411;60.0
2023090412;60.0
2023090413;60.0
2023090414;60.0
2023090415;60.0
2023090416;60.0
2023090417;57.0
2023090418;46.0
2023090419;0.0
2023090420;0.0
2023090503;0.0
2023090504;0.0
2023090505;10.0
2023090506;60.0
2023090507;60.0
2023090508;60.0
2023090509;60.0
2023090510;60.0
2023090511;60.0
2023090512;60.0
2023090513;60.0
2023090514;60.0
2023090515;60.0
2023090516;60.0
2023090517;57.0
2023090518;60.0
2023090519;3.0
2023090520;0.0
2023090603;0.0
2023090604;0.0
2023090605;8.0
2023090606;60.0
2023090607;60.0
2023090608;60.0
2023090609;60.0
2023090610;60.0
2023090611;60.0
2023090612;60.0
2023090613;60.0
2023090614;60.0
2023090615;60.0
2023090616;60.0
2023090617;57.0
2023090618;60.0
2023090619;1.0
2023090620;0.0
2023090703;0.0
2023090704;0.0
2023090705;6.0
2023090706;60.0
2023090707;60.0
2023090708;60.0
2023090709;60.0
2023090710;60.0
2023090711;60.0
2023090712;60.0
2023090713;60.0
2023090714;60.0
2023090715;60.0
2023090716;60.0
2023090717;57.0
2023090718;59.0
2023090719;0.0
2023090720;0.0
2023090803;0.0
2023090804;0.0
2023090805;3.0
2023090806;60.0
2023090807;60.0
2023090808;60.0
2023090809;60.0
2023090810;60.0
2023090811;60.0
2023090812;60.0
2023090813;60.0
2023090814;60.0
2023090815;60.0
2023090816;60.0
2023090817;57.0
2023090818;52.0
2023090819;0.0
2023090820;0.0
2023090903;0.0
2023090904;0.0
2023090905;0.0
2023090906;50.0
2023090907;60.0
2023090908;60.0
2023090909;60.0
2023090910;60.0
2023090911;60.0
2023090912;60.0
2023090913;60.0
2023090914;60.0
2023090915;60.0
2023090916;60.0
2023090917;57.0
2023090918;43.0
2023090919;0.0
2023090920;0.0
2023091003;0.0
2023091004;0.0
2023091005;0.0
2023091006;54.0
2023091007;60.0
2023091008;60.0
2023091009;60.0
2023091010;59.0
2023091011;58.0
2023091012;41.0
2023091013;4.0
2023091014;27.0
2023091015;31.0
2023091016;19.0
2023091017;42.0
2023091018;36.0
2023091019;0.0
2023091020;0.0
2023091103;0.0
2023091104;0.0
2023091105;0.0
2023091106;44.0
2023091107;58.0
2023091108;60.0
2023091109;60.0
2023091110;60.0
2023091111;60.0
2023091112;60.0
2023091113;56.0
2023091114;60.0
2023091115;60.0
2023091116;60.0
2023091117;58.0
2023091118;17.0
2023091119;0.0
2023091120;0.0
2023091203;0.0
2023091204;0.0
2023091205;0.0
2023091206;17.0
2023091207;51.0
2023091208;29.0
2023091209;43.0
2023091210;3.0
2023091211;4.0
2023091212;19.0
2023091213;34.0
2023091214;58.0
2023091215;60.0
2023091216;60.0
2023091217;15.0
2023091218;0.0
2023091219;0.0
2023091220;0.0
2023091303;0.0
2023091304;0.0
2023091305;0.0
2023091306;0.0
2023091307;0.0
2023091308;0.0
2023091309;0.0
2023091310;0.0
2023091311;0.0
2023091312;0.0
2023091313;0.0
2023091314;15.0
2023091315;0.0
2023091316;0.0
2023091317;0.0
2023091318;0.0
2023091319;0.0
2023091320;0.0
2023091403;0.0
2023091404;0.0
2023091405;0.0
2023091406;54.0
2023091407;59.0
2023091408;60.0
2023091409;60.0
2023091410;56.0
2023091411;24.0
2023091412;1.0
2023091413;0.0
2023091414;0.0
2023091415;0.0
2023091416;0.0
