Date;Open;High;Low;Last;Volume;Status
19.11.2021;81;82,24;78,05;78,89;479928;0
22.11.2021;78,58;80,07;77,58;79,7;350902;0
23.11.2021;79,51;82,6;78,55;82,31;366596;0
24.11.2021;81,88;83;81,74;82,25;231071;0
25.11.2021;82,24;82,58;81,7;82,22;80445;0
26.11.2021;81,65;81,66;72,14;72,72;170776;0
29.11.2021;73,88;77,02;72,41;73,44;126354;0
30.11.2021;74,42;74,56;70,22;70,57;24823;0
01.12.2021;69,8;72,87;68,14;68,87;420402;0
02.12.2021;69,72;70,7;65,72;69,67;526601;0
03.12.2021;70,22;72,62;69,24;69,88;331824;0
06.12.2021;70,24;73,8;70,24;73,08;255401;0
07.12.2021;73,6;76,27;73,2;75,44;312282;0
08.12.2021;75,44;76,37;74,38;75,82;322080;0
09.12.2021;75,94;76,7;73,84;74,42;283389;0
10.12.2021;73,99;75,71;73,8;75,15;221360;0
13.12.2021;75,37;76,39;74,2;74,39;265514;0
14.12.2021;74,42;75,16;72,57;73,7;277860;0
15.12.2021;73,25;74,58;72,5;73,88;233190;0
16.12.2021;74,47;75,61;74;75,02;223637;0
17.12.2021;74,5;74,98;72,65;73,52;231412;0
20.12.2021;72,82;72,87;69,28;71,52;333764;0
21.12.2021;71,88;74,27;71,24;73,98;214067;0
22.12.2021;74,05;75,67;73,62;75,29;166713;0
23.12.2021;75,47;77;74,78;76,85;161242;0
24.12.2021;76,72;76,79;75,75;76,14;30538;0
27.12.2021;76,32;79,08;75,75;78,6;85387;0
28.12.2021;78,67;79,85;78,48;78,94;50411;0
29.12.2021;79,28;80,17;78,13;79,23;69626;0
30.12.2021;79,19;79,66;78,5;79,32;10896;0
31.12.2021;78,81;79,68;77,55;77,78;148959;0
03.01.2022;78,11;79,28;77,04;78,98;201029;0
04.01.2022;78,91;80,55;78,62;80;291677;0
05.01.2022;80,07;81,5;79,51;80,8;331736;0
06.01.2022;80,22;82,83;79,61;81,99;353156;0
07.01.2022;82;83;81,42;81,75;286113;0
10.01.2022;81,76;82,3;80,5;80,87;300651;0
11.01.2022;81,08;83,98;80,89;83,72;324941;0
12.01.2022;83,78;85,21;83,52;84,67;301386;0
13.01.2022;84,87;85,1;83,79;84,47;265203;0
14.01.2022;84,12;86,5;83,99;86,06;304718;0
17.01.2022;86,15;86,71;85,54;86,48;139817;0
18.01.2022;86,47;88,66;86,44;87,51;356876;0
19.01.2022;88,65;89,17;87,61;88,44;350935;0
20.01.2022;87,89;89,5;87,05;88,38;279524;0
