MESS_DATUM;SD_SO
2023081719;0.0
2023081720;0.0
2023081803;0.0
2023081804;0.0
2023081805;12.0
2023081806;21.0
2023081807;45.0
2023081808;60.0
2023081809;60.0
2023081810;60.0
2023081811;60.0
2023081812;60.0
2023081813;60.0
2023081814;60.0
2023081815;60.0
2023081816;60.0
2023081817;60.0
2023081818;60.0
2023081819;19.0
2023081820;0.0
2023081903;0.0
2023081904;0.0
2023081905;19.0
2023081906;60.0
2023081907;60.0
2023081908;60.0
2023081909;60.0
2023081910;60.0
2023081911;60.0
2023081912;60.0
2023081913;60.0
2023081914;60.0
2023081915;60.0
2023081916;60.0
2023081917;60.0
2023081918;60.0
2023081919;5.0
2023081920;0.0
2023082003;0.0
2023082004;0.0
2023082005;0.0
2023082006;36.0
2023082007;60.0
2023082008;60.0
2023082009;60.0
2023082010;60.0
2023082011;60.0
2023082012;60.0
2023082013;60.0
2023082014;60.0
2023082015;59.0
2023082016;54.0
2023082017;60.0
2023082018;60.0
2023082019;9.0
2023082020;0.0
2023082103;0.0
2023082104;0.0
2023082105;15.0
2023082106;60.0
2023082107;60.0
2023082108;60.0
2023082109;59.0
2023082110;60.0
2023082111;60.0
2023082112;60.0
2023082113;60.0
2023082114;60.0
2023082115;60.0
2023082116;60.0
2023082117;60.0
2023082118;59.0
2023082119;0.0
2023082120;0.0
2023082203;0.0
2023082204;0.0
2023082205;6.0
2023082206;60.0
2023082207;60.0
2023082208;59.0
2023082209;60.0
2023082210;60.0
2023082211;60.0
2023082212;59.0
2023082213;51.0
2023082214;56.0
2023082215;56.0
2023082216;60.0
2023082217;60.0
2023082218;60.0
2023082219;1.0
2023082220;0.0
2023082303;0.0
2023082304;0.0
2023082305;0.0
2023082306;0.0
2023082307;55.0
2023082308;45.0
2023082309;58.0
2023082310;60.0
2023082311;60.0
2023082312;60.0
2023082313;60.0
2023082314;51.0
2023082315;53.0
2023082316;59.0
2023082317;60.0
2023082318;25.0
2023082319;0.0
2023082320;0.0
2023082403;0.0
2023082404;0.0
2023082405;0.0
2023082406;32.0
2023082407;60.0
2023082408;60.0
2023082409;60.0
2023082410;60.0
2023082411;60.0
2023082412;60.0
2023082413;60.0
2023082414;60.0
2023082415;60.0
2023082416;60.0
2023082417;18.0
2023082418;0.0
2023082419;0.0
2023082420;0.0
2023082503;0.0
2023082504;0.0
2023082505;0.0
2023082506;12.0
2023082507;5.0
2023082508;42.0
2023082509;22.0
2023082510;3.0
2023082511;49.0
2023082512;57.0
2023082513;52.0
2023082514;41.0
2023082515;5.0
2023082516;0.0
2023082517;7.0
2023082518;31.0
2023082519;0.0
2023082520;0.0
2023082603;0.0
2023082604;0.0
2023082605;0.0
2023082606;0.0
2023082607;0.0
2023082608;38.0
2023082609;42.0
2023082610;22.0
2023082611;34.0
2023082612;18.0
2023082613;60.0
2023082614;20.0
2023082615;0.0
2023082616;0.0
2023082617;0.0
2023082618;0.0
2023082619;0.0
2023082620;0.0
2023082703;0.0
2023082704;0.0
2023082705;0.0
2023082706;0.0
2023082707;0.0
2023082708;0.0
2023082709;0.0
2023082710;0.0
2023082711;0.0
2023082712;0.0
2023082713;0.0
2023082714;0.0
2023082715;0.0
2023082716;0.0
2023082717;0.0
2023082718;0.0
2023082719;0.0
2023082720;0.0
2023082803;0.0
2023082804;0.0
2023082805;0.0
2023082806;0.0
2023082807;0.0
2023082808;0.0
2023082809;0.0
2023082810;0.0
2023082811;7.0
2023082812;6.0
2023082813;0.0
2023082814;0.0
2023082815;0.0
2023082816;0.0
2023082817;0.0
2023082818;0.0
2023082819;0.0
2023082820;0.0
2023082903;0.0
2023082904;0.0
2023082905;0.0
2023082906;0.0
2023082907;0.0
2023082908;0.0
2023082909;0.0
2023082910;0.0
2023082911;0.0
2023082912;0.0
2023082913;0.0
2023082914;0.0
2023082915;0.0
2023082916;0.0
2023082917;0.0
2023082918;0.0
2023082919;0.0
2023082920;0.0
2023083003;0.0
2023083004;0.0
2023083005;0.0
2023083006;0.0
2023083007;0.0
2023083008;0.0
2023083009;0.0
2023083010;3.0
2023083011;48.0
2023083012;6.0
2023083013;1.0
2023083014;0.0
2023083015;4.0
2023083016;37.0
2023083017;17.0
2023083018;20.0
2023083019;0.0
2023083020;0.0
